url,titulo,subtitulo,descricao,temas,data,descricao_limpo,descricao_sem_stopwords
https://www.agenciaminas.mg.gov.br/noticia/geracao-esporte-vai-beneficiar-2-4-mil-criancas-e-adolescentes,"Geração Esporte vai beneficiar 2,4 mil crianças e adolescentes","Programa estadual, executado pela Sedese, reforça política de valorização do esporte e inclusão social","A Secretaria de Estado de Desenvolvimento Social (Sedese), por meio da Subsecretaria de Esportes, divulga o edital de seleção do Programa Geração...","['Social', 'Esportes']",2019-10-08 12:39:00-03:00,a secretaria de estado de desenvolvimento social sedese por meio da subsecretaria de esportes divulga o edital de selecao do programa geracao,secretaria estado desenvolvimento social sedese meio subsecretaria esportes divulga edital selecao programa geracao
https://www.agenciaminas.mg.gov.br/noticia/sedese-divulga-relatorio-dos-indices-definitivos-do-icms-solidario,Sedese divulga relatório dos índices definitivos do ICMS Solidário,Os municípios contemplados vão receber os recursos no ano de 2020,"A Secretaria de Estado de Desenvolvimento Social (Sedese), por meio da Subsecretaria de Estado de Esportes, disponibilizou o Relatório dos Dados...",['Esportes'],2019-09-25 15:12:00-03:00,a secretaria de estado de desenvolvimento social sedese por meio da subsecretaria de estado de esportes disponibilizou o relatorio dos dados,secretaria estado desenvolvimento social sedese meio subsecretaria estado esportes disponibilizou relatorio dados
https://www.agenciaminas.mg.gov.br/noticia/sedese-lanca-quatro-editais-da-lei-de-incentivo-para-execucao-de-projetos-esportivos,Sedese lança quatro editais da Lei de Incentivo para execução de projetos esportivos,"Neste ano, R$ 19,3 milhões serão destinados a projetos aprovados pela Subsecretaria de Esportes","A Secretaria de Estado de Desenvolvimento Social (Sedese) publicou nesta terça-feira (24/9), no Diário Oficial do Estado, quatro novos editais da...",['Esportes'],2019-09-24 17:04:00-03:00,a secretaria de estado de desenvolvimento social sedese publicou nesta terca feira 24 9 no diario oficial do estado quatro novos editais da,secretaria estado desenvolvimento social sedese publicou nesta terca feira 24 9 diario oficial estado quatro novos editais
https://www.agenciaminas.mg.gov.br/noticia/torcedores-com-deficiencia-entram-com-jogadores-no-gramado-do-mineirao,Torcedores com deficiência entram com jogadores no gramado do Mineirão,"Ação articulada entre Sedese, Prefeitura de BH, Cruzeiro e administração do estádio faz parte da programação do Setembro Verde","A Secretaria de Estado de Desenvolvimento Social (Sedese) realizou no último sábado (21/9), em parceria com a Prefeitura de Belo Horizonte, o...","['Social', 'Esportes']",2019-09-23 11:51:00-03:00,a secretaria de estado de desenvolvimento social sedese realizou no ultimo sabado 21 9 em parceria com a prefeitura de belo horizonte o,secretaria estado desenvolvimento social sedese realizou ultimo sabado 21 9 parceria prefeitura belo horizonte
https://www.agenciaminas.mg.gov.br/noticia/oficinas-levam-esporte-adaptado-para-o-ambiente-escolar-em-brumadinho,Oficinas levam esporte adaptado para o ambiente escolar em Brumadinho,Ação da Secretaria de Desenvolvimento Social promove inclusão e conhecimento para os alunos,"A Secretaria de Estado de Desenvolvimento Social (Sedese), por meio da Subsecretaria de Esportes, realizou, nessa quinta-feira (19/9) oficinas de...","['Social', 'Esportes', 'Brumadinho']",2019-09-20 12:11:00-03:00,a secretaria de estado de desenvolvimento social sedese por meio da subsecretaria de esportes realizou nessa quinta feira 19 9 oficinas de,secretaria estado desenvolvimento social sedese meio subsecretaria esportes realizou nessa quinta feira 19 9 oficinas
https://www.agenciaminas.mg.gov.br/noticia/minas-gerais-tem-mais-oito-equipes-classificadas-para-a-etapa-nacional-dos-jogos-escolares-da-juventude,Minas Gerais tem mais oito equipes classificadas para a etapa nacional dos Jogos Escolares da Juventude,Equipes conquistaram as vagas em Cascavel (PR) e se juntam aos outros representantes do estado na etapa nacional que será em Blumenau (SC),"Oito equipes mineiras garantiram vaga na etapa nacional dos Jogos Escolares da Juventude de 2019 (JEJ), que será realizada no período de 16 a 30 de...","['Social', 'Esportes', 'Educação']",2019-09-11 11:10:00-03:00,oito equipes mineiras garantiram vaga na etapa nacional dos jogos escolares da juventude de 2019 jej que sera realizada no periodo de 16 a 30 de,oito equipes mineiras garantiram vaga etapa nacional jogos escolares juventude 2019 jej realizada periodo 16 30
https://www.agenciaminas.mg.gov.br/noticia/mineirinho-vira-o-palco-do-arraial-de-belo-pelo-segundo-ano-consecutivo,Mineirinho vira o palco do Arraial de Belô pelo segundo ano consecutivo,Espaço concedido pelo Governo de Minas recebe o maior evento junino da capital mineira a partir desta sexta-feira (11/7),"O Estádio Jornalista Felippe Drummond, mais conhecido como Mineirinho, mostra a versatilidade e a importância que tem para os mineiros, e se...","['Infraestrutura', 'Esportes', 'Cultura']",2025-07-11 17:40:00-03:00,o estadio jornalista felippe drummond mais conhecido como mineirinho mostra a versatilidade e a importancia que tem para os mineiros e se,estadio jornalista felippe drummond conhecido mineirinho mostra versatilidade importancia mineiros
https://www.agenciaminas.mg.gov.br/noticia/aluno-mineiro-conquista-cinco-medalhas-nos-jogos-parapan-americanos-no-peru,Aluno mineiro conquista cinco medalhas nos Jogos Parapan-Americanos no Peru,"Gabriel Geraldo dos Santos é aluno do 3º ano do ensino médio da Escola Estadual Professora Maria Amélia Campos, em Corinto, na região Central do estado","Gabriel Geraldo dos Santos aprendeu a nadar aos quatro anos e o que começou como uma brincadeira, hoje, aos 17 anos, realiza sonhos. Atleta...","['Esportes', 'Educação']",2019-09-06 11:35:00-03:00,gabriel geraldo dos santos aprendeu a nadar aos quatro anos e o que comecou como uma brincadeira hoje aos 17 anos realiza sonhos atleta,gabriel geraldo santos aprendeu nadar quatro anos comecou brincadeira hoje 17 anos realiza sonhos atleta
https://www.agenciaminas.mg.gov.br/noticia/delegacao-mineira-embarca-para-disputa-da-regional-dos-jogos-escolares-da-juventude,Delegação mineira embarca para disputa da regional dos Jogos Escolares da Juventude,"Noventa e dois estudantes-atletas de nove escolas vão representar Minas Gerais na competição, que acontece em Cascavel (PR)","A delegação mineira embarcou nesta segunda-feira (2/9), no Aeroporto Internacional Tancredo Neves, em Confins, para a disputa da etapa regional dos...","['Social', 'Esportes', 'Educação']",2019-09-02 15:15:00-03:00,a delegacao mineira embarcou nesta segunda feira 2 9 no aeroporto internacional tancredo neves em confins para a disputa da etapa regional dos,delegacao mineira embarcou nesta segunda feira 2 9 aeroporto internacional tancredo neves confins disputa etapa regional
https://www.agenciaminas.mg.gov.br/noticia/governo-publica-edital-2019-do-programa-bolsa-atleta-e-bolsa-tecnico-paralimpicos,Governo publica edital 2019 do programa Bolsa Atleta e Bolsa Técnico paralímpicos,As inscrições terminam no próximo dia 12 de setembro,"A Secretaria de Estado de Desenvolvimento Social (Sedese) publicou, na edição desta terça-feira (27/8) do Diário Oficial Minas Gerais, o edital...","['Social', 'Esportes']",2019-08-27 14:35:00-03:00,a secretaria de estado de desenvolvimento social sedese publicou na edicao desta terca feira 27 8 do diario oficial minas gerais o edital,secretaria estado desenvolvimento social sedese publicou edicao desta terca feira 27 8 diario oficial minas gerais edital
https://www.agenciaminas.mg.gov.br/noticia/emocao-no-final-dos-jogos-escolares-de-minas-gerais-2019,Emoção no final dos Jogos Escolares de Minas Gerais 2019,Competição contou com participação de estudantes-atletas de mais de 98% dos municípios mineiros,"Os Jogos Escolares de Minas Gerais (Jemg) 2019 chegaram ao fim com grandes momentos para estudantes-atletas, professores, familiares, árbitros e...","['Esportes', 'Educação']",2019-08-06 11:49:00-03:00,os jogos escolares de minas gerais jemg 2019 chegaram ao fim com grandes momentos para estudantes atletas professores familiares arbitros e,jogos escolares minas gerais jemg 2019 chegaram fim grandes momentos estudantes atletas professores familiares arbitros
https://www.agenciaminas.mg.gov.br/noticia/jemg-ja-tem-varios-medalhistas-nas-modalidades-individuais-e-paralimpicas,Jemg já tem vários medalhistas nas modalidades individuais e paralímpicas,"Competição, que termina neste sábado (3/8), reúne cerca de 6,5 mil estudantes-atletas","A disputa pelas medalhas de ouro, prata e bronze dos Jogos Escolares de Minas Gerais – Jemg/2019 estão acirradas. As competições, que estão sendo...","['Social', 'Esportes']",2019-08-02 11:05:00-03:00,a disputa pelas medalhas de ouro prata e bronze dos jogos escolares de minas gerais jemg 2019 estao acirradas as competicoes que estao sendo,disputa medalhas ouro prata bronze jogos escolares minas gerais jemg 2019 acirradas competicoes sendo
https://www.agenciaminas.mg.gov.br/noticia/competicoes-dos-jogos-escolares-de-minas-gerais-movimentam-uberlandia,Competições dos Jogos Escolares de Minas Gerais movimentam Uberlândia,"Abertura oficial do evento, que reúne 6,5 mil estudantes-atletas, foi realizada na noite de terça-feira (30/7)","Milhares de pessoas participaram, nesta terça-feira (30/7), da abertura da etapa estadual dos Jogos Escolares de Minas Gerais (Jemg), no município...","['Social', 'Esportes', 'Educação']",2019-07-31 14:40:00-03:00,milhares de pessoas participaram nesta terca feira 30 7 da abertura da etapa estadual dos jogos escolares de minas gerais jemg no municipio,milhares pessoas participaram nesta terca feira 30 7 abertura etapa estadual jogos escolares minas gerais jemg municipio
https://www.agenciaminas.mg.gov.br/noticia/final-dos-jogos-escolares-de-mg-vai-reunir-cerca-de-6-5-mil-estudantes-atletas,"Final dos Jogos Escolares de MG vai reunir cerca de 6,5 mil estudantes-atletas","Disputas do maior evento escolar do país vão ocorrer em Uberlândia, no Triângulo Mineiro, na próxima semana","A partir de terça-feira (30/7), aproximadamente 6,5 mil estudantes-atletas vão disputar, em Uberlândia, a final de 2019 dos Jogos Escolares de...","['Esportes', 'Educação']",2019-07-26 09:21:00-03:00,a partir de terca feira 30 7 aproximadamente 6 5 mil estudantes atletas vao disputar em uberlandia a final de 2019 dos jogos escolares de,partir terca feira 30 7 aproximadamente 6 5 mil estudantes atletas vao disputar uberlandia final 2019 jogos escolares
https://www.agenciaminas.mg.gov.br/noticia/regional-do-jemg-reune-cerca-de-10-mil-estudantes-atletas,Regional do Jemg reúne cerca de 10 mil estudantes-atletas,"Fase estadual acontecerá no período de 29 de julho a 3 de agosto no município de Uberlândia, no Triângulo Mineiro","Crédito: Tiago Ciccarini Cerca de 10 mil estudantes-atletas disputaram, na última semana, uma vaga para a etapa estadual da...","['Esportes', 'Educação']",2019-07-05 14:02:00-03:00,credito tiago ciccarini cerca de 10 mil estudantes atletas disputaram na ultima semana uma vaga para a etapa estadual da,credito tiago ciccarini cerca 10 mil estudantes atletas disputaram ultima semana vaga etapa estadual
https://www.agenciaminas.mg.gov.br/noticia/estudantes-de-bh-vao-carregar-bandeiras-de-brasil-e-argentina-no-mineirao,Estudantes de BH vão carregar bandeiras de Brasil e Argentina no Mineirão,"Ao todo, 26 alunos da Escola Estadual Tomás Brandão vão acompanhar de perto a partida válida pela semifinal da Copa América","Esta terça-feira (2/7) é de expectativa para 26 alunos do ensino fundamental da Escola Estadual Tomás Brandão, em Belo Horizonte. Eles terão a...","['Educação', 'Esportes']",2019-07-02 17:02:00-03:00,esta terca feira 2 7 e de expectativa para 26 alunos do ensino fundamental da escola estadual tomas brandao em belo horizonte eles terao a,terca feira 2 7 expectativa 26 alunos ensino fundamental escola estadual tomas brandao belo horizonte
https://www.agenciaminas.mg.gov.br/noticia/governo-facilita-cadastro-de-gestor-esportivo-municipal-com-passo-a-passo,Governo facilita cadastro de gestor esportivo municipal com passo a passo,"Em vídeo no Youtube, interessados contam com informações para auxiliar no preenchimento","A Secretaria de Estado de Desenvolvimento Social (Sedese), por meio da Subsecretaria de Esportes, disponibilizou vídeo em seu canal do Youtube com...","['Esportes', 'Social']",2019-06-28 11:10:00-03:00,a secretaria de estado de desenvolvimento social sedese por meio da subsecretaria de esportes disponibilizou video em seu canal do youtube com,secretaria estado desenvolvimento social sedese meio subsecretaria esportes disponibilizou video canal youtube
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-inaugura-quadra-poliesportiva-em-andradas-e-fortalece-infraestrutura-escolar,Governo de Minas inaugura quadra poliesportiva em Andradas e fortalece infraestrutura escolar,Novo espaço amplia oportunidades para prática esportiva e atividades pedagógicas na rede municipal,"O governador Mateus Simões inaugurou, nessa sexta-feira (10/4), a quadra poliesportiva Rita Aparecida Carvalho Giaretta, na Escola Municipal...","['Governo', 'Esportes', 'Educação', 'Governador']",2026-04-11 18:20:00-03:00,o governador mateus simoes inaugurou nessa sexta feira 10 4 a quadra poliesportiva rita aparecida carvalho giaretta na escola municipal,governador mateus simoes inaugurou nessa sexta feira 10 4 quadra poliesportiva rita aparecida carvalho giaretta escola municipal
https://www.agenciaminas.mg.gov.br/noticia/governo-de-minas-impulsiona-esporte-para-estudantes-com-a-aquisicao-de-kits-pelas-escolas,Governo de Minas impulsiona esporte para estudantes com a aquisição de kits pelas escolas,Investimento de R$ 121 milhões do Premiep já transforma as aulas de Educação Física e incentiva a participação dos alunos nos Jogos Escolares de Minas Gerais,As escolas da rede estadual de Minas Gerais vivem um novo momento no incentivo à prática esportiva. Com recursos do Programa Estadual de Melhoria e...,"['Esportes', 'Educação']",2025-07-09 09:30:00-03:00,as escolas da rede estadual de minas gerais vivem um novo momento no incentivo a pratica esportiva com recursos do programa estadual de melhoria e,escolas rede estadual minas gerais vivem novo momento incentivo pratica esportiva recursos programa estadual melhoria
https://www.agenciaminas.mg.gov.br/noticia/jemg-encerra-inscricoes-nesta-sexta-feira-28-6,Jemg encerra inscrições nesta sexta-feira (28/6),Interessados nas modalidades individuais e paraolímpicas devem preencher o documento disponível no site do Jemg,Estudantes-atletas devem estar atentos. Termina nesta sexta-feira (28/6) o prazo para inscrições nas modalidades individuais e paralímpicas dos...,"['Social', 'Esportes']",2019-06-27 17:05:00-03:00,estudantes atletas devem estar atentos termina nesta sexta feira 28 6 o prazo para inscricoes nas modalidades individuais e paralimpicas dos,estudantes atletas devem atentos termina nesta sexta feira 28 6 prazo inscricoes modalidades individuais paralimpicas
https://www.agenciaminas.mg.gov.br/noticia/beneficiarios-de-programas-sociais-vibram-em-partida-entre-equador-e-japao-no-mineirao,Beneficiários de programas sociais vibram em partida entre Equador e Japão no Mineirão,Parceria entre a Sedese e a Conmebol disponibilizou 800 ingressos sociais para dois jogos da Copa América,"O empate por 1 a 1 entre Equador e Japão na noite dessa segunda-feira (24/6), no Mineirão, pela Copa América, teve entre os espectadores um público...","['Social', 'Esportes']",2019-06-25 13:13:00-03:00,o empate por 1 a 1 entre equador e japao na noite dessa segunda feira 24 6 no mineirao pela copa america teve entre os espectadores um publico,empate 1 1 equador japao noite dessa segunda feira 24 6 mineirao copa america espectadores publico
https://www.agenciaminas.mg.gov.br/noticia/comeca-em-minas-gerais-a-etapa-regional-do-jemg-2019,Começa em Minas Gerais a etapa regional do Jemg 2019,Cerca de 12 mil estudantes-atletas participam das disputas em sete cidades-sede,Tem início nesta segunda-feira (24/6) - e termina no sábado (29/6) - a etapa regional dos Jogos Escolares de Minas Gerais (Jemg-2019). Cerca de 12...,"['Esportes', 'Educação']",2019-06-24 15:50:00-03:00,tem inicio nesta segunda feira 24 6 e termina no sabado 29 6 a etapa regional dos jogos escolares de minas gerais jemg 2019 cerca de 12,inicio nesta segunda feira 24 6 termina sabado 29 6 etapa regional jogos escolares minas gerais jemg 2019 cerca 12
https://www.agenciaminas.mg.gov.br/noticia/sedese-distribui-ingressos-sociais-para-jogos-da-copa-america,Sedese distribui ingressos sociais para jogos da Copa América,"Para as partidas que acontecem no sábado (22/6) e na segunda-feira (24/6) no Mineirão, em Belo Horizonte, estão disponíveis 800 ingressos",Beneficiários de programas e ações sociais da Secretaria de Estado de Desenvolvimento Social (Sedese) serão contemplados com ingressos...,['Esportes'],2019-06-19 13:45:00-03:00,beneficiarios de programas e acoes sociais da secretaria de estado de desenvolvimento social sedese serao contemplados com ingressos,beneficiarios programas acoes sociais secretaria estado desenvolvimento social sedese contemplados ingressos
